CHEMBL1159645,COc1ccc(CCC(=O)c2c(O)cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)cc2O)cc1O,1.83
CHEMBL1159650,CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,1.95
CHEMBL1160508,N[C@@H](CS(=O)O)C(=O)O,0.84
CHEMBL1160509,CCCCCCCCN,0.64
CHEMBL1160571,O=P(O)(O)OP(=O)(O)O,0.89
CHEMBL1160703,NC[C@H](O)c1ccc(O)cc1,0.89
CHEMBL1160785,COc1cc(CCN)ccc1O,0.94
CHEMBL1160787,Oc1cc2c(c(Cl)c1O)CCNC[C@@H]2c1ccccc1,0.75
CHEMBL11608,NCCc1ccc(O)cc1,0.76
CHEMBL1160982,C[C@@H](N)[C@@H](O)c1ccc(O)c(O)c1,1.36
CHEMBL1161,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccco1)C(=O)CCl,1.46
CHEMBL1161421,O=C1OC(C(O)CO)C(O)=C1O,2.26
CHEMBL1161520,Oc1ccc([C@@H]2CNCCc3c2cc(O)c(O)c3Cl)cc1,0.95
CHEMBL1161866,NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@H](O)[C@@H]2O)C=CC1,0.86
CHEMBL1162,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,1.89
CHEMBL1162071,O=C(O)[C@@H]1O[C@@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O)[C@H]1O,1.43
CHEMBL1162201,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@@H]2O[C@H](n3cnc4c(N)ncnc43)[C@@H](O)[C@H]2O)[C@@H](O)[C@H]1O,0.69
CHEMBL1162492,C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OS(=O)(=O)O,1.69
CHEMBL1163540,C[C@@]12CC[C@H](O)[C@@H]3COC(=C31)C(=O)c1cc3cccc(O)c3cc12,2.52
CHEMBL1163545,C[C@@]12CC[C@H](O)[C@@H]3COC(=C31)C(=O)c1cc3ccccc3cc12,2.36
CHEMBL1163895,COc1cccc2cc3c(cc12)[C@]1(C)CC[C@H](O)[C@@H]2COC(=C21)C3=O,2.28
CHEMBL1165239,O=C(O)[C@@H]1CCN1,1.29
CHEMBL1165342,CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32,1.39
CHEMBL1165416,C[C@@]12CC[C@@H](O)[C@@H]3COC(=C31)C(=O)c1cc3c(OCCO)cccc3cc12,2.14
CHEMBL116550,CC(=O)N[C@H]1[C@H]([C@@H](O)[C@@H](O)CO)OC(C(=O)O)=C[C@@H]1O,1.44
CHEMBL116903,OC[C@H]1O[C@@H](n2cnc3c(N[C@@H]4CCC[C@H]4O)ncnc32)[C@H](O)[C@@H]1O,0.84
CHEMBL1169500,OC[C@H]1N[C@H](CO)[C@H](O)C(O)[C@H]1O,1.84
CHEMBL1169505,N[C@H](CCCC(=O)O)C(=O)O,1.32
CHEMBL1169580,CCC[C@](C)(O)[C@@H]1CC23C=C[C@]1(OC)[C@H]1Oc4c(O)ccc5c4C12CCN(C)C3C5,1.98
CHEMBL1169585,CCC[C@@](C)(O)[C@@H]1CC23C=C[C@]1(OC)[C@H]1Oc4c(O)ccc5c4C12CCN(C)C3C5,1.98
CHEMBL1169627,COc1cc2c3cc1Oc1cc(ccc1O)C[C@@H]1c4c(cc(OC)c(O)c4Oc4ccc(cc4)C[C@H]3N(C)CC2)CCN1C,1.9
CHEMBL117,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,1.23
CHEMBL1170,CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,2.18
CHEMBL1170090,O=CN1CCc2cc3c(c4c2[C@H]1Cc1ccccc1-4)OCO3,1.5
CHEMBL1170697,C[C@@H]1CC[C@H]2C(C)(C)[C@H](O)CC[C@]2(C)[C@@]12Cc1c(O)cc3c(c1O2)COC3=O,3.08
CHEMBL1170899,C[C@@H]1CC[C@H]2C(C)(C)[C@H](O)CC[C@]2(C)[C@@]12Cc1c(O)cc(C=O)c(C=O)c1O2,2.88
CHEMBL1171146,C[C@H]1CC[C@@]2(OC1)O[C@H]1C[C@H]3[C@@H]4CC[C@@H]5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C,3.09
CHEMBL117128,C[C@@H]1C2Cc3ccc(O)cc3[C@]1(C)CCN2C,1.87
CHEMBL1172192,COC1C(OC(=O)c2ccc(C)[nH]2)C(O)C(Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2Cl)OC1(C)C,1.08
CHEMBL1172750,Cc1cc(=O)oc2cc(O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)ccc12,1.36
CHEMBL1173328,Cc1cccc(O)c1O,0.63
CHEMBL11773,CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,1.15
CHEMBL117785,COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2,0.84
CHEMBL1179566,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](OS(=O)(=O)O)CC[C@]4(C)[C@H]3CC[C@]12C,2.15
CHEMBL1179605,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OS(=O)(=O)O)CC[C@]4(C)[C@H]3CC[C@]12C,2.43
CHEMBL1186527,OC1CCN2Cc3ccccc3N=C12,0.68
CHEMBL118715,O=C(O)C[C@@](O)(C(=O)O)[C@H](O)C(=O)O,1.3
CHEMBL1187592,COc1cc2c(cc1O)CCN[C@H]2C,1.66
CHEMBL1187846,CN1[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@H]12,1.36
CHEMBL11909,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,1.31
CHEMBL119171,Nc1nc(S)c2ncn(C3OC(CO)C(O)C3O)c2n1,0.85
CHEMBL119296,NCCCCCN,0.64
CHEMBL119443,C[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,0.86
CHEMBL1195032,C[C@@H]1NCCc2cc(O)c(O)cc21,1.75
CHEMBL1197637,COc1cc2c(cc1OC)-c1cc3ccc4c(c3c[n+]1CC2)OCO4,1.37
CHEMBL1200356,CC1(C)S[C@@H]2[C@H](NC(=O)C3(N)CCCCC3)C(=O)N2[C@H]1C(=O)O,0.84
CHEMBL1200374,C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,2.53
CHEMBL1200384,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,1.75
CHEMBL1200386,CCOC(=O)O[C@]1(C(=O)COC(=O)CC)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,1.75
CHEMBL1200391,NC(CO)(CO)CO,0.84
CHEMBL1200430,CC(=O)Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,1.78
CHEMBL1200436,C[C@]12COC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,2.16
CHEMBL1200500,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C,1.71
CHEMBL1200515,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5ccccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,0.98
CHEMBL1200542,CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,1.96
CHEMBL1200545,CC(=O)OCC(=O)[C@@]1(OC(C)=O)[C@@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,1.8
CHEMBL1200562,CCCCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,2.05
CHEMBL1200592,CC(C)(C)C(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,1.53
CHEMBL1200600,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,2.12
CHEMBL1200617,CCC(=O)[C@@]1(C)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,2.3
CHEMBL1200623,CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,2.11
CHEMBL1200624,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@H]3CC[C@@]21C,2.06
CHEMBL1200660,O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O,1.16
CHEMBL1200688,CCOC(=O)CCC(=O)O[C@H]1[C@H](O[C@@H]2[C@@H](C)[C@H](O[C@H]3C[C@@](C)(OC)[C@@H](O)[C@H](C)O3)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]2(C)O)O[C@H](C)C[C@@H]1N(C)C,1.63
CHEMBL1200732,CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,2.02
CHEMBL1200829,O=C1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,2.4
CHEMBL1200845,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)CC[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CCl)O1,1.99
CHEMBL1200848,CCCCCC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,1.73
CHEMBL1200853,CC(=O)[C@H]1CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@@]4(C)[C@@H]3CC[C@]12C,2.57
CHEMBL1200861,O=C(O)[C@@H](O)[C@H](O)C(=O)O,0.66
CHEMBL1200865,CCOC(=O)O[C@]1(C(=O)OCCl)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,1.86
CHEMBL1200877,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC(=O)C(C)(C)C,1.42
CHEMBL1200908,CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,1.74
CHEMBL1200969,C[C@]12C=CC(=O)N[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C(=O)Nc3cc(C(F)(F)F)ccc3C(F)(F)F)CC[C@@H]12,0.74
